Entity,Code,Year,$10 - total number of people above poverty line,$5.50-$10 - total number of people between poverty lines,$3.20-$5.50 - total number of people between poverty lines,$1.90-$3.20 - total number of people between poverty lines,$1.90 - total number of people below poverty line
Madagascar,MDG,2005,154058,388704,1444338,3198608,13151014
Madagascar,MDG,2010,150592,377073,1326501,2761720,16535754
Madagascar,MDG,2012,101223,460810,1333411,2832979,17618218
Malawi,MWI,1997,235619,431672,939134,2250017,6408464
Malawi,MWI,2004,129869,243477,832347,2173812,8922332
Malawi,MWI,2010,195708,371356,1088825,2545527,10338193
Malawi,MWI,2016,151547,438540,1301484,3405955,11907727
Malawi,MWI,2019,99333,439576,1254719,3138540,13696581
Malaysia,MYS,1984,5978249,4313847,2940694,1520410,439100
Malaysia,MYS,1987,6330827,4759277,3333147,1746240,352513
Malaysia,MYS,1989,6631506,5202977,3638961,1769232,286285
Malaysia,MYS,1992,8039798,5206007,3509972,2003786,243097
Malaysia,MYS,1995,8941802,5517133,3666216,2000343,362110
Malaysia,MYS,1997,11521258,5323847,3147065,1482935,87685
Malaysia,MYS,2003,12871686,6446719,3682703,1394508,303205
Malaysia,MYS,2006,15132689,6738770,3328501,845518,156476
Malaysia,MYS,2008,16073687,6608321,3394274,1008870,150851
Malaysia,MYS,2011,20135657,6047835,2111221,324626,31623
Malaysia,MYS,2013,23674958,4622106,1057239,107079,7541
Malaysia,MYS,2015,25468756,3931568,790780,76239,3622
Maldives,MDV,2002,31512,78092,111828,53599,19154
Maldives,MDV,2009,76151,126360,92216,46463,12201
Maldives,MDV,2016,369129,90066,15517,793,0
Maldives,MDV,2019,410084,112030,8843,0,0
Mali,MLI,1994,52033,160772,390649,769185,7962254
Mali,MLI,2001,106430,448187,1600514,2487213,6629259
Mali,MLI,2006,204127,788511,1898254,3432103,6880383
Mali,MLI,2009,65396,658437,2226127,4298142,7333325
Mali,MLI,2018,1055417,3171497,5407010,6328322,3115509
Malta,MLT,2006,392992,9249,677,570,1820
Malta,MLT,2007,395139,7614,1600,702,1669
Malta,MLT,2008,403809,3654,989,481,446
Malta,MLT,2009,403231,6040,1230,494,1482
Malta,MLT,2010,408125,4489,790,301,803
Malta,MLT,2011,411497,2834,351,813,773
Malta,MLT,2012,413302,5235,338,659,494
Malta,MLT,2013,422398,2796,647,0,126
Malta,MLT,2014,430532,3655,260,111,0
Malta,MLT,2015,441269,2498,860,50,376
Malta,MLT,2016,452541,1672,315,409,419
Malta,MLT,2017,463539,3003,492,217,748
Malta,MLT,2018,481702,1625,224,578,501
Malta,MLT,2019,497363,3309,1182,672,1536
Marshall Islands,MHL,2019,22520,23020,10222,2554,475
Mauritania,MRT,1987,65227,183722,395353,482803,752651
Mauritania,MRT,1993,63009,189326,414935,626801,904467
Mauritania,MRT,1995,119320,370270,674115,672896,477029
Mauritania,MRT,2000,186234,444113,759834,703255,536781
Mauritania,MRT,2004,200335,455152,903198,883872,496689
Mauritania,MRT,2008,308227,849915,997758,781068,359269
Mauritania,MRT,2014,393166,1226161,1364843,712241,234483
Mauritius,MUS,2006,466937,506770,215632,39373,5284
Mauritius,MUS,2012,558479,472578,184840,33021,6964
Mauritius,MUS,2017,677906,425656,133131,25265,2655
Mexico,MEX,1984,18190586,18946139,18458650,12555969,6201287
Mexico,MEX,1989,19978700,21791131,20875471,12224014,7499614
Mexico,MEX,1992,25716881,23696335,19849049,11357634,6455237
Mexico,MEX,1994,28044492,23890776,19912337,11584245,6724546
Mexico,MEX,1996,17597760,20291167,21413984,16949347,16894787
Mexico,MEX,1998,23057416,23865810,22630621,14103193,12399273
Mexico,MEX,2000,29111077,26451891,22570149,11880987,8885741
Mexico,MEX,2002,30835274,29543479,22171680,12410798,6723533
Mexico,MEX,2004,34916321,30540047,22519741,10303358,6235467
Mexico,MEX,2005,36491434,30601889,21960440,9989238,6962198
Mexico,MEX,2006,39705028,32288654,21590695,9501825,4473953
Mexico,MEX,2008,42120866,31676129,21100645,9926250,5991382
Mexico,MEX,2010,41108438,34970428,23590441,9263241,5160413
Mexico,MEX,2012,44263999,35960870,22846542,9699542,4503203
Mexico,MEX,2014,41915103,38413771,25776849,9770333,4479081
Mexico,MEX,2016,48969760,38152448,23206480,9019772,3984919
Mexico,MEX,2018,52457659,40181360,21896691,8306154,3348918
Mexico,MEX,2020,52488550,40277783,23500465,8654307,4011648
Micronesia (country),FSM,2005,20826,30566,28589,17578,8576
Micronesia (country),FSM,2013,9770,23004,32143,24701,16304
Micronesia (country) - urban,,2000,2805,3140,3883,4023,10133
Middle East and North Africa,,1985,33070343.599999994,45901017,58798329,43763129,16116152
Middle East and North Africa,,1986,31712107,47834056,61570180,45738295,16861407
Middle East and North Africa,,1987,29805153.800000012,50320606,65592785,46805946,17312459
Middle East and North Africa,,1988,29646275.900000006,52611678,67898842,48038555,17771915
Middle East and North Africa,,1989,28442678,54712538,70738732,50287729,17876730
Middle East and North Africa,,1990,33438192,60819054,72945680,46391837,14476419
Middle East and North Africa,,1991,37109155,56299834,68103834,49073056,23409295
Middle East and North Africa,,1992,39586858,58223619,70880427,51898642,19222412
Middle East and North Africa,,1993,40883827,59599141,74748076,54156766,16113613
Middle East and North Africa,,1994,41172759,60522916,77546198,55917563,15886258
Middle East and North Africa,,1995,39647509,61245423,79829429,58917806,16797440
Middle East and North Africa,,1996,41535645,63260626,82761507,58777851,15332621
Middle East and North Africa,,1997,43837762,66109367,86374673,56997491,13434624
Middle East and North Africa,,1998,47953153,72206822,88494828,51920957,11116773
Middle East and North Africa,,1999,50279951,76682364,90251706,49027972,10362919
Middle East and North Africa,,2000,55134844,80431365,90216499,46312387,9452492
Middle East and North Africa,,2001,58269036,80563110,90849392,47215055,9647371
Middle East and North Africa,,2003,63239403,75369566,91098247,54549006,12473601
Middle East and North Africa,,2004,70139100,81307548,92151105,48419989,9930528
Middle East and North Africa,,2005,75655166,83191283,91724076,47246040,9450203
Middle East and North Africa,,2006,76641138,85178490,94369559,47362843,9138154
Middle East and North Africa,,2007,82221542,87302623,93661860,46007154,9037346
Middle East and North Africa,,2008,85440707,91005099,93830745,44823011,8820140
Middle East and North Africa,,2009,87705292,95212564,95523399,43139903,8195994
Middle East and North Africa,,2010,92759038,100034760,96349724,39739596,6936159
Middle East and North Africa,,2011,99585653,103270550,94140746,37250485,7816728
Middle East and North Africa,,2012,100185912,107677082,96722461,36327882,7583122
Middle East and North Africa,,2013,102305678,109247808,98227545,37391611,7882568
Middle East and North Africa,,2014,101727794,111050715,99103459,40304653,9470472
Middle East and North Africa,,2015,101500878,111479844,96000287,41740404,17521484
Middle East and North Africa,,2016,105551264,113219890,93984970,42012358,20004752
Middle East and North Africa,,2017,108113003,110436073,94591859,45369041,22744407
Middle East and North Africa,,2018,107567469,109201484,93330592,48581990,29103108
Moldova,MDA,1997,184294,570233,920997,809157,450843
Moldova,MDA,1998,116082,384627,774711,869883,789036
Moldova,MDA,1999,123525,231278,553423,908634,1112875
Moldova,MDA,2000,60613,229954,643251,964128,1025837
Moldova,MDA,2001,110118,328079,755220,938037,785798
Moldova,MDA,2002,182363,531825,931494,796891,467931
Moldova,MDA,2003,255406,680452,1048812,703717,213933
Moldova,MDA,2004,242263,670014,1056414,683452,243004
Moldova,MDA,2005,185082,573614,966271,781471,381673
Moldova,MDA,2006,696890,1035057,795352,284402,68394
Moldova,MDA,2007,863366,1119499,670213,189200,31151
Moldova,MDA,2008,827442,1112324,669578,222855,35765
Moldova,MDA,2009,865161,1110136,663023,197594,28432
Moldova,MDA,2010,871724,1179311,638719,157097,14636
Moldova,MDA,2011,896287,1249791,596056,109962,7737
Moldova,MDA,2012,855560,1316921,599080,78180,9717
Moldova,MDA,2013,1006316,1304246,487205,58501,2424
Moldova,MDA,2014,962589,1383052,478807,32502,0
Moldova,MDA,2015,1008556,1385350,403067,36672,885
Moldova,MDA,2016,901135,1456873,409659,29883,4620
Moldova,MDA,2017,928614,1391686,405970,27201,1687
Moldova,MDA,2018,978612,1381833,322903,24372,494
Moldova,MDA,2019,1009083,1300479,340934,13715,763
Mongolia,MNG,1995,159792,524286,788947,546542,278450
Mongolia,MNG,1998,20856,223295,715726,820439,575351
Mongolia,MNG,2002,173083,623102,835698,579755,231623
Mongolia,MNG,2007,643954,908312,744562,265533,31458
Mongolia,MNG,2010,660830,1041248,757567,240340,19917
Mongolia,MNG,2011,795076,1091105,702358,167840,13978
Mongolia,MNG,2012,1065861,1095737,547575,105567,9958
Mongolia,MNG,2014,1224132,1180639,447566,81572,6202
Mongolia,MNG,2016,886869,1254612,724318,176185,14374
Mongolia,MNG,2018,1043990,1268458,698151,143938,15677
Montenegro,MNE,2005,334737,222116,48808,7197,1403
Montenegro,MNE,2006,357148,204020,47284,6573,0
Montenegro,MNE,2007,430377,150964,31081,1232,2221
Montenegro,MNE,2008,468560,127893,17693,1664,1159
Montenegro,MNE,2009,471283,115255,28109,3647,0
Montenegro,MNE,2010,429749,163820,22569,3290,0
Montenegro,MNE,2011,423836,158635,31229,5069,1310
Montenegro,MNE,2012,372817,194404,40127,5407,7846
Montenegro,MNE,2013,376444,189835,39184,9294,6450
Montenegro,MNE,2014,395341,200095,22011,4363,0
Montenegro,MNE,2015,353178,148643,70530,40965,8843
Montenegro,MNE,2016,392558,132750,59545,21864,15586
Montenegro,MNE,2017,402211,124013,51385,23792,20972
Montenegro,MNE,2018,389037,128550,65057,21645,17938
Morocco,MAR,1984,1864855,5373365,7741036,4689029,2334356
Morocco,MAR,1990,5005554,7661505,7349317,4062421,728664
Morocco,MAR,1998,4142797,7410902,9045048,5721988,1789712
Morocco,MAR,2000,4555384,7293172,9255216,6011953,1677947
Morocco,MAR,2006,6311024,10004086,9485824,4087489,916266
Morocco,MAR,2013,10936289,12592607,7712550,2163000,311259
Mozambique,MOZ,1996,204462,337162,843725,1492192,13082904
Mozambique,MOZ,2002,209246,386274,861407,2330795,14976425
Mozambique,MOZ,2008,309807,516453,1643757,4290283,15516296
Mozambique,MOZ,2014,779975,1262039,2593027,4911845,16739306
Myanmar,MMR,2015,5096051,14895069,19726424,10452613,2510567
Myanmar,MMR,2017,6133256,18264349,21003541,7253224,728151
Namibia,NAM,1993,202218,148840,183949,218286,801805
Namibia,NAM,2003,262749,229740,313140,461031,612453
Namibia,NAM,2009,343449,322906,415999,510169,488516
Namibia,NAM,2015,667278,467182,479721,381509,319211
Nauru,NRU,2012,2158,3618,3017,1253,90
Nepal,NPL,1984,165,192038,719268,2676189,12889828
Nepal,NPL,1995,156094,510076,1775445,4887944,14246515
Nepal,NPL,2003,704587,1572626,3257429,7030219,12516019
Nepal,NPL,2010,912749,3675449,8688824,9687243,4048942
Netherlands,NLD,1983,13721248,289498,144835,145648,65841
Netherlands,NLD,1987,14484647,114166,0,29642,36582
Netherlands,NLD,1990,14616314,74194,40609,77945,142448
Netherlands,NLD,1993,14679814,155738,154186,152099,148531
Netherlands,NLD,1999,15655971,78242,0,45793,32082
Netherlands,NLD,2004,15999092,157286,55326,31670,38405
Netherlands,NLD,2005,16128241,124170,33260,9991,24206
Netherlands,NLD,2006,16197577,113805,16594,10640,7485
Netherlands,NLD,2007,16214709,123476,33877,4944,4690
Netherlands,NLD,2008,16276809,93637,40321,12853,21973
Netherlands,NLD,2009,16418332,59535,12326,21884,18311
Netherlands,NLD,2010,16549728,34267,13107,10410,7882
Netherlands,NLD,2011,16577357,72851,14479,12353,16034
Netherlands,NLD,2012,16671915,55083,12325,2932,12707
Netherlands,NLD,2013,16684108,82642,12823,10260,14599
Netherlands,NLD,2014,16750042,50512,29098,25623,9733
Netherlands,NLD,2015,16805655,71877,39804,13647,8940
Netherlands,NLD,2016,16894947,81217,28588,17742,7820
Netherlands,NLD,2017,16954101,110495,16084,18278,32338
Netherlands,NLD,2018,17108420,62937,32996,10075,17196
Netherlands,NLD,2019,17184838,111019,30390,2023,16604
Nicaragua,NIC,1993,513544,835199,1157237,984661,971855
Nicaragua,NIC,1998,537881,967373,1464257,1165606,775525
Nicaragua,NIC,2001,441578,1032600,1484443,1283220,903526
Nicaragua,NIC,2005,477783,1110250,1589580,1389847,871232
Nicaragua,NIC,2009,1217847,1642345,1566137,893017,426192
Nicaragua,NIC,2014,1973725,1993434,1369405,596808,209362
Niger,NER,1992,37043,104576,373881,1322370,6728903
Niger,NER,1994,33381,114679,402718,1134233,7483305
Niger,NER,2005,129252,264700,843721,2131618,10255183
Niger,NER,2007,125197,349968,907266,2677152,10625821
Niger,NER,2011,150902,563386,2071342,5662461,8666679
Niger,NER,2014,189669,1038982,3163802,6113438,8734291
Niger,NER,2018,544686,1305238,3716264,7595578,9281065
Nigeria,NGA,1985,192147,4689564,11740115,20559734,46381216
Nigeria,NGA,1992,954322,5730367,14673211,20140573,58663235
Nigeria,NGA,1996,2183984,5273004,11138519,20275966,71797311
Nigeria,NGA,2003,1175169,5814594,17511124,33617786,73781961
Nigeria,NGA,2010,1552019,11216924,30209563,46515852,69008845
Nigeria,NGA,2012,1711136,12155372,32752053,49558496,71051746
Nigeria,NGA,2015,2256600,14467959,36811845,53789782,73811268
Nigeria,NGA,2018,2419274,13209091,41205143,62483148,76558029
North Macedonia,MKD,1998,393666,942443,483008,164696,23710
North Macedonia,MKD,2000,303979,735688,577279,303676,105728
North Macedonia,MKD,2002,842161,651873,376716,119982,29425
North Macedonia,MKD,2003,811332,681760,362046,146285,25350
North Macedonia,MKD,2004,1090852,585250,266526,74348,15568
North Macedonia,MKD,2005,894816,629986,355051,124258,32744
North Macedonia,MKD,2006,851386,660318,339156,130407,58961
North Macedonia,MKD,2008,1074121,607078,271753,80916,13030
North Macedonia,MKD,2009,657118,660471,351458,180883,200741
North Macedonia,MKD,2010,732042,622947,331472,153832,214711
North Macedonia,MKD,2011,770127,626385,342886,132080,187061
North Macedonia,MKD,2012,788707,628788,353910,147163,142476
North Macedonia,MKD,2013,768898,687169,359524,140581,107860
North Macedonia,MKD,2014,867121,660859,322350,123572,93569
North Macedonia,MKD,2015,921802,636423,302663,94670,114668
North Macedonia,MKD,2016,1035807,591224,246367,109349,89743
North Macedonia,MKD,2017,1107713,562030,217111,93153,94495
North Macedonia,MKD,2018,1140641,563695,224161,77159,70561
Norway,NOR,1979,3940864,90971,20939,10477,9266
Norway,NOR,1986,4115318,31754,10077,0,10205
Norway,NOR,1991,4209293,32185,0,10050,10204
Norway,NOR,1995,4305658,20891,11230,11659,9746
Norway,NOR,2000,4457344,11718,11348,0,10557
Norway,NOR,2003,4533003,19035,2220,1867,8730
Norway,NOR,2004,4544655,24554,8474,2066,12161
Norway,NOR,2005,4582838,20023,8756,2337,9337
Norway,NOR,2006,4609452,28914,10376,5830,6105
Norway,NOR,2007,4678510,11666,7312,6392,5273
Norway,NOR,2008,4729487,18839,5858,3217,10811
Norway,NOR,2009,4800113,18368,3978,3405,2862
Norway,NOR,2010,4853106,21628,7136,0,7382
Norway,NOR,2011,4928468,15553,2702,2117,4248
Norway,NOR,2012,4991400,14699,3390,3197,5887
Norway,NOR,2013,5047161,13911,9078,2847,6626
Norway,NOR,2014,5105099,15715,9041,1576,5801
Norway,NOR,2015,5150846,21418,5584,3091,7668
Norway,NOR,2016,5177367,24069,12059,7903,13121
Norway,NOR,2017,5226439,25109,7199,4950,13271
Norway,NOR,2018,5277115,13947,5346,1991,13517
Norway,NOR,2019,5306392,23737,5058,4338,8371
Pakistan,PAK,1987,660872,2457012,8173339,23979664,63014875
Pakistan,PAK,1990,703234,2492526,9849210,29334104,65268844
Pakistan,PAK,1996,1990880,8599842,33617764,59852351,23288456
Pakistan,PAK,1998,3172498,9222495,30678908,57463259,34306073
Pakistan,PAK,2001,1702373,7187565,29738790,66130259,41219421
Pakistan,PAK,2004,3767559,14536424,43433787,68742814,26184114
Pakistan,PAK,2005,4044815,13849519,45124396,70600662,26684615
Pakistan,PAK,2007,4414351,17473114,53162987,72811601,19946053
Pakistan,PAK,2010,5498372,21206295,68204939,71303122,13211915
Pakistan,PAK,2011,6274904,23326792,68493241,71983779,13261452
Pakistan,PAK,2013,6941636,30504981,78182573,64690520,10941089
Pakistan,PAK,2015,10777022,36369437,81562818,63214656,7503020
Pakistan,PAK,2018,9476842,38009616,91634826,65491612,7615392
Palestine,PSE,2004,1206621,1238534,635055,132128,24288
Palestine,PSE,2005,1298578,1276555,579065,142020,24178
Palestine,PSE,2006,1310926,1373340,589066,122318,10684
Palestine,PSE,2007,1167013,1328037,739771,208181,51494
Palestine,PSE,2009,1527647,1456996,608640,84872,10944
Palestine,PSE,2010,1569720,1457613,638781,113424,6623
Palestine,PSE,2011,1615789,1541423,607817,110617,7340
Palestine,PSE,2016,1888581,1523071,757339,161935,36162
Panama,PAN,1979,680723,477691,368410,247437,157041
Panama,PAN,1989,691368,512023,384313,252893,578827
Panama,PAN,1991,781359,523676,427238,239081,551761
Panama,PAN,1995,1058124,601239,403598,230819,445887
Panama,PAN,1997,1115300,620357,452300,237647,428303
Panama,PAN,1998,1102693,679011,433146,256101,441367
Panama,PAN,1999,1187386,683270,469578,233091,397872
Panama,PAN,2000,1273125,689507,462075,234233,371393
Panama,PAN,2001,1177196,667132,478444,291600,475269
Panama,PAN,2002,1278750,691889,499924,329576,349056
Panama,PAN,2003,1327346,724612,496140,304292,356666
Panama,PAN,2004,1397209,728042,500372,312797,330936
Panama,PAN,2005,1422944,753229,534036,288908,331105
Panama,PAN,2006,1444649,795209,509070,286365,356380
Panama,PAN,2007,1598824,797102,486481,302794,268470
Panama,PAN,2008,1904692,791066,405491,231619,183336
Panama,PAN,2009,1943927,810814,485856,225265,113353
Panama,PAN,2010,2062440,786769,403230,226833,163419
Panama,PAN,2011,2271687,750913,363943,207247,112689
Panama,PAN,2012,2314271,745452,335109,220345,155458
Panama,PAN,2013,2404927,730789,389702,203155,106874
Panama,PAN,2014,2530020,713379,332226,188715,136971
Panama,PAN,2015,2682517,674586,344434,188420,78533
Panama,PAN,2016,2802689,646989,303308,195447,88640
Panama,PAN,2017,2870920,657431,319770,155025,103618
Panama,PAN,2018,3027093,624232,307764,146620,71159
Panama,PAN,2019,3102334,628906,320780,142710,51710
Papua New Guinea,PNG,1996,144560,473202,785412,1205762,2705322
Papua New Guinea,PNG,2009,234692,704708,1519087,1968960,2717327
Paraguay,PRY,1990,2237824,1267261,540168,134015,44145
Paraguay,PRY,1995,1843760,1076327,771622,518974,566155
Paraguay,PRY,1997,2261807,1017180,759459,442293,517357
Paraguay,PRY,1999,2084620,1247336,875558,492473,516359
Paraguay,PRY,2001,2142678,1384284,945628,491597,464255
Paraguay,PRY,2002,1637350,1355980,1107360,725571,705697
Paraguay,PRY,2003,1958207,1461724,1161049,613269,438734
Paraguay,PRY,2004,2022901,1587828,1190431,621396,308000
Paraguay,PRY,2005,2227070,1640296,1150297,465866,340566
Paraguay,PRY,2006,2061328,1582843,1165359,656121,447561
Paraguay,PRY,2007,2212580,1719161,1106809,513872,446008
Paraguay,PRY,2008,2499807,1654436,1119508,569364,238181
Paraguay,PRY,2009,2565066,1707184,1068307,488297,335116
Paraguay,PRY,2010,2782411,1669008,1004729,467362,324507
Paraguay,PRY,2011,3040812,1579196,934632,486231,293110
Paraguay,PRY,2012,3382954,1601787,850792,382108,203869
Paraguay,PRY,2013,3589914,1674110,837032,300099,109118
Paraguay,PRY,2014,3757704,1615234,778580,301559,146447
Paraguay,PRY,2015,3817754,1605372,825728,325532,114360
Paraguay,PRY,2016,3734407,1744428,847909,348217,102917
Paraguay,PRY,2017,3871715,1831320,837045,266024,60954
Paraguay,PRY,2018,4157724,1714228,710671,282110,91336
Paraguay,PRY,2019,4259740,1702916,761612,253493,66878
Paraguay,PRY,2020,3971595,1886736,938868,280867,54464
Peru,PER,1985,8793091,5926051,3226708,1295243,531778
Peru,PER,1994,3735799,6048336,6316832,4236899,3513539
Peru,PER,1997,6101065,5826344,5221969,3687735,4373844
Peru,PER,1998,6034723,6023391,5616987,3765230,4217739
Peru,PER,1999,5796094,6141301,5874758,3822227,4443915
Peru,PER,2000,5801429,6737398,5758420,3834958,4327739
Peru,PER,2001,5714461,6265554,5959884,4210422,4648968
Peru,PER,2002,6579170,6796787,5685370,3953908,4085729
Peru,PER,2003,6905667,6762578,6038198,4393678,3272096
Peru,PER,2004,6668816,7150970,5910672,4150249,3743519
Peru,PER,2005,6253361,7002321,5992811,4314878,4302769
Peru,PER,2006,7678645,7321851,5531351,3789614,3780594
Peru,PER,2007,9065225,7565180,5135959,3417642,3149044
Peru,PER,2008,10155233,7673937,5149347,2993220,2590584
Peru,PER,2009,10651821,7908583,5250581,2950804,2030874
Peru,PER,2010,11647476,8232921,4823543,2725847,1597893
Peru,PER,2011,12542188,8101336,4715877,2378811,1526102
Peru,PER,2012,13597632,7973129,4299046,2220701,1416282
Peru,PER,2013,13901704,8060974,4392819,2122391,1296098
Peru,PER,2014,14257991,8221269,4392246,2099414,1119452
Peru,PER,2015,14350428,8683960,4257211,2071734,1107406
Peru,PER,2016,15113822,8225904,4466670,2030771,1088869
Peru,PER,2017,15238779,8614159,4492998,2026057,1072306
Peru,PER,2018,16059088,8787855,4438163,1844362,859797
Peru,PER,2019,16793466,9023540,4247315,1716228,729913
Peru,PER,2020,12376740,9747351,6203643,3182597,1461515
Philippines,PHL,1985,2782398,6701790,13685030,16021628,15084990
Philippines,PHL,1988,3415302,8482737,14527900,17773041,14596019
Philippines,PHL,1991,4695326,9219992,15651246,17187941,16700280
Philippines,PHL,1994,5227849,10460586,17351888,18278633,16861890
Philippines,PHL,1997,8576518,14082938,18958129,18690889,12722405
Philippines,PHL,2000,8112118,14511929,21986127,22213497,11168086
Philippines,PHL,2003,9300536,16511402,24260469,22233182,10746381
Philippines,PHL,2006,10640390,17333275,23580467,23637168,12697375
Philippines,PHL,2009,11920702,19385845,26956764,24493888,9656962
Philippines,PHL,2012,12198988,20181556,27550866,25785435,11495794
Philippines,PHL,2015,14188577,24022727,31288693,24663060,7950149
Philippines,PHL,2018,15281887,28759468,35464503,22176275,4969261
Poland,POL,1985,24684995,11053451,1262214,131670,69555
Poland,POL,1986,24629416,10017576,2252778,464354,91995
Poland,POL,1987,25636372,10611959,1248148,119528,52038
Poland,POL,1989,33218124,4343483,319681,46330,33911
Poland,POL,1992,26567295,9977445,1531892,201249,85786
Poland,POL,1993,11866233,17165662,8277970,1098409,53134
Poland,POL,1995,20166118,12157726,4439498,1256531,575125
Poland,POL,1996,4187489,12541454,14386963,6573597,934867
Poland,POL,1998,22463210,12850674,3031215,309023,9359
Poland,POL,1999,21810111,13033115,3464123,328898,24024
Poland,POL,2000,21622583,12633241,3552532,406519,43754
Poland,POL,2001,21292834,12742849,3707795,475720,28878
Poland,POL,2002,20901439,12789826,3967693,556439,14967
Poland,POL,2003,23209133,11162910,3458486,358984,15057
Poland,POL,2004,23901667,10694246,3125601,423331,37377
Poland,POL,2005,21580245,12362814,3663093,506601,52692
Poland,POL,2006,23430883,11504653,2917715,279397,8619
Poland,POL,2007,25081241,10592868,2246460,193091,6900
Poland,POL,2008,26769535,9455794,1748425,147189,4816
Poland,POL,2009,27302098,9181746,1553262,108635,5862
Poland,POL,2010,27495935,8884233,1532786,129840,0
Poland,POL,2011,27372074,9015014,1533221,136598,6348
Poland,POL,2012,27510584,8897141,1555340,92828,7271
Poland,POL,2013,27669347,8770232,1501097,98039,1481
Poland,POL,2014,28056214,8498754,1336321,119574,872
Poland,POL,2015,28683450,8061025,1165210,76727,0
Poland,POL,2016,30294933,6961020,690724,21686,1724
Poland,POL,2017,30967366,6456895,522770,27795,0
Poland,POL,2018,30513640,6721262,726022,13107,719
Poland,POL,2019,31597575,5911352,440082,16466,0
Portugal,PRT,2003,9102012,1028527,168728,65854,93700
Portugal,PRT,2004,9236403,963483,175985,57600,50390
Portugal,PRT,2005,9396351,826971,168187,55808,56013
Portugal,PRT,2006,9443681,863439,159913,45504,9751
Portugal,PRT,2007,9598553,771375,85017,60848,27171
Portugal,PRT,2008,9589311,750679,127582,76114,14491
Portugal,PRT,2009,9699396,707849,118637,24833,17532
Portugal,PRT,2010,9588044,780669,159352,30607,14428
Portugal,PRT,2011,9467130,820365,171616,45519,52930
Portugal,PRT,2012,9167721,879551,312653,86002,68917
Portugal,PRT,2013,9015903,980984,290269,84359,85780
Portugal,PRT,2014,9073703,960043,217825,94632,54859
Portugal,PRT,2015,9198240,870191,175122,64556,49967
Portugal,PRT,2016,9301209,749292,205804,30464,38683
Portugal,PRT,2017,9471737,648238,110398,27645,42282
Portugal,PRT,2018,9605168,506521,104413,37935,29785
Portugal,PRT,2019,9716399,475761,68658,10147,15298
Romania,ROU,1989,18670245,3961706,398573,69256,61678
Romania,ROU,1992,10355808,9389963,2591385,342180,114948
Romania,ROU,1994,841607,4381463,9659631,6130825,1716685
Romania,ROU,1995,5954969,9980930,4991784,1416611,339976
Romania,ROU,1997,4623680,10149905,5751652,1578544,450197
Romania,ROU,1998,5321853,9426669,5749504,1699503,309815
Romania,ROU,1999,1524803,6974425,8971282,4014825,986705
Romania,ROU,2000,1319156,6543571,9056424,4318792,1205028
Romania,ROU,2001,1889720,7624228,8348706,3421128,848188
Romania,ROU,2002,2102940,7749239,7782046,3225740,870531
Romania,ROU,2003,2570846,8138752,7515887,2790650,558191
Romania,ROU,2004,3605300,8777999,6407902,2267115,393432
Romania,ROU,2005,4101935,9133122,6025482,1750981,308165
Romania,ROU,2006,4420055,8832765,5874896,1731436,334608
Romania,ROU,2007,5384940,9137771,4840023,1520248,0
Romania,ROU,2008,7881925,8525762,3322453,807735,0
Romania,ROU,2009,8201299,8566052,2986374,613762,0
Romania,ROU,2010,7572681,8652520,3250289,771381,0
Romania,ROU,2011,7307213,8867579,3271801,700935,0
Romania,ROU,2012,7504852,8763022,3140317,649844,0
Romania,ROU,2013,7615787,8633860,3081782,652264,0
Romania,ROU,2014,9191753,5631230,2571441,1214287,1300268
Romania,ROU,2015,10002348,5266099,2374574,1269479,903116
Romania,ROU,2016,9689484,7223443,2393267,396073,0
Romania,ROU,2017,13291820,3794493,1269906,630680,601816
Romania,ROU,2018,12198261,5640419,1459817,175473,0
Romania,ROU,2019,15022088,2569928,989718,394459,395455
Russia,RUS,1993,60614161,42598492,25692398,14043959,5509767
Russia,RUS,1996,60637392,42798879,24598535,12979237,7146086
Russia,RUS,1997,58656707,50866873,27208517,8823331,2359933
Russia,RUS,1998,51533790,49535927,31432173,11649988,3518906
Russia,RUS,1999,35902387,47383501,39174544,18057370,6696974
Russia,RUS,2000,41638152,49429268,36392062,14603737,4533650
Russia,RUS,2001,49250775,51278917,32396350,10371105,2679335
Russia,RUS,2002,56444331,50733122,28475805,8098560,1554679
Russia,RUS,2003,61027178,47848193,26275273,7848755,1649219
Russia,RUS,2004,67153799,45535838,23289714,6590942,1497023
Russia,RUS,2005,72239758,44680739,20167553,5253875,1176889
Russia,RUS,2006,79991881,41234719,17145312,4015343,662382
Russia,RUS,2007,89177448,37701299,13016305,2607013,303049
Russia,RUS,2008,98606650,33683654,9161035,1152444,138583
Russia,RUS,2009,98377563,34465656,8707083,1133559,101488
Russia,RUS,2010,104098815,30816683,6853198,955737,125035
Russia,RUS,2011,107330362,28941848,5921834,709912,56952
Russia,RUS,2012,109711934,27340378,5397976,702626,48807
Russia,RUS,2013,111195197,26877254,4820900,599748,13896
Russia,RUS,2014,112462594,26132876,4750244,442879,31074
Russia,RUS,2015,109806145,28379721,5307442,549264,54298
Russia,RUS,2016,109206717,29211727,5393136,488650,42167
Russia,RUS,2017,109352125,29628870,4928046,525139,62559
Russia,RUS,2018,110095057,29099297,4777360,461041,45104
Russia,RUS,2019,112505050,27538759,3970821,346605,45026
Russia,RUS,2020,111884971,28025333,3764698,414431,14647
Rwanda,RWA,2000,118402,205925,417951,1002966,6188444
